dataset	median_sd	lambda
Abdominal Subcut. - Adipocytes	0.03562571853399277	3.1902934120628577
Bladder - Epithelium	0.0581541545689106	3.6936623406206937
Blood - B cells	0.035100750625133514	3.7658448915687757
Blood - Granulocytes	0.029513858258724213	4.034015494474896
Blood - Monocytes	0.03261594474315643	3.8700947862751556
Blood - NK	0.03849618881940842	3.8933061808587794
Blood - T central memory CD4	0.03860669955611229	3.294097008831169
Blood - T cytotoxic (CD8+) cells	0.04374612867832184	3.774360768770388
Blood - T effector cell CD8	0.04293232411146164	3.2259718767522365
Blood - T effector memory CD4	0.043218012899160385	3.071123026688424
Blood - T helper(CD4+) cells	0.031917404383420944	3.7493024491923874
Bone marrow - Erythrocyte progenitors	0.054763063788414	2.488695832234719
Brain - Neuronal	0.045089930295944214	5.08456775660011
Brain - Oligodendrocytes	0.034999098628759384	3.5223835574649778
Breast - Basal epithelial	0.03768477588891983	4.156243093813418
Breast - Luminal epithelial	0.036029182374477386	4.84292049535181
Colon - Endocrine	0.04195435717701912	4.3199446068237926
Colon - Epithelium	0.04035171866416931	3.748399716686891
Endometrium - Epithelium	0.03711652383208275	4.0217329220543485
Fallopien tubes - Epithelium	0.030760042369365692	4.4391510758153645
Gastric antrum - Epithelium	0.03177748620510101	3.7409075562553946
Gastric body - Epithelium	0.033031661063432693	3.674924801528025
Gastric fundus - Epithelium	0.03221139684319496	3.6807600049082305
Heart - Cardiomyocyte	0.038144394755363464	3.311432003022078
Heart - Fibroblast	0.05851227790117264	2.799850191987273
Kidney glomerular - Endothelium	0.03367176279425621	4.185843420980573
Kidney glomerular - Podocyte	0.03419596329331398	4.101134354074419
Kidney tubular - Endothelium	0.035878341645002365	3.6262307861712237
Kidney tubular - Epithelium	0.032510656863451004	5.568940300650403
Liver - Hepatocyte	0.04527943953871727	3.630371331627584
Lung alveolar - Endothelium	0.04129832610487938	4.166807833529599
Lung alveolar - Epithelium	0.028488848358392715	4.008703069284701
Lung bronchus - Epithelium	0.03036557137966156	4.319465855072063
Lung interstitial - Macrophages	0.031245427206158638	4.534187115989312
Pancreas - Acinar	0.045589759945869446	3.0407934101155196
Pancreas - Alpha	0.03410709649324417	3.460105996862659
Pancreas - Beta	0.0366414412856102	3.354874417717532
Pancreas - Delta	0.040615055710077286	3.3095457463461893
Pancreas - Duct	0.037812139838933945	3.5589174077663452
Pancreas - Endothelium	0.04584001377224922	3.0000271595035652
Prostate - Epithelium	0.03954014927148819	4.6038494897954365
Small intestine - Epithelium	0.031405724585056305	4.073139977770951
Thyroid - Epithelium	0.030396822839975357	3.648867681383306
Tongue - Epithelium	0.04452510178089142	3.8545738009905506
Tonsil palatine - Epithelium	0.03504668548703194	3.52540704372862
Vascular saphenous - Endothelium	0.03449190780520439	4.345862785781951
